날짜,종가
2019-10-31,1169.24 
2019-10-30,1164.41 
2019-10-29,1167.39 
2019-10-28,1167.61 
2019-10-25,1171.66 
2019-10-24,1175.12 
2019-10-23,1169.67 
2019-10-22,1172.09 
2019-10-21,1172.33 
2019-10-18,1177.91 
2019-10-17,1178.60 
2019-10-16,1185.51 
2019-10-15,1184.79 
2019-10-14,1183.70 
2019-10-11,1182.48 
2019-10-10,1189.46 
2019-10-09,1197.50 
2019-10-08,1199.02 
2019-10-07,1196.33 
2019-10-04,1191.25 
2019-10-03,1200.89 
2019-10-02,1204.37 
2019-10-01,1202.37 
2019-09-30,1198.09 
2019-09-27,1201.99 
2019-09-26,1199.46 
2019-09-25,1198.82 
2019-09-24,1194.53 
2019-09-23,1194.04 
2019-09-20,1193.13 
2019-09-19,1194.35 
2019-09-18,1190.73 
2019-09-17,1186.62 
2019-09-16,1184.02 
2019-09-13,1178.72 
2019-09-12,1181.44 
2019-09-11,1189.68 
2019-09-10,1191.35 
2019-09-09,1191.93 
2019-09-06,1191.77 
2019-09-05,1197.52 
2019-09-04,1203.63 
2019-09-03,1210.54 
2019-09-02,1213.61 
2019-08-30,1209.50 
2019-08-29,1208.12 
2019-08-28,1212.29 
2019-08-27,1211.74 
2019-08-26,1211.74 
2019-08-23,1212.66 
2019-08-22,1209.42 
2019-08-21,1201.44 
2019-08-20,1205.40 
2019-08-19,1211.62 
2019-08-16,1207.47 
2019-08-15,1212.33 
2019-08-14,1215.86 
2019-08-13,1205.64 
2019-08-12,1218.14 
2019-08-09,1213.45 
2019-08-08,1207.08 
2019-08-07,1212.87 
2019-08-06,1212.43 
2019-08-05,1217.33 
2019-08-02,1204.51 
2019-08-01,1195.38 
2019-07-31,1187.32 
2019-07-30,1181.14 
2019-07-29,1182.71 
2019-07-26,1183.24 
2019-07-25,1183.16 
2019-07-24,1177.41 
2019-07-23,1178.89 
2019-07-22,1175.87 
2019-07-19,1175.11 
2019-07-18,1171.78 
2019-07-17,1179.62 
2019-07-16,1179.21 
2019-07-15,1179.41 
2019-07-12,1176.32 
2019-07-11,1174.16 
2019-07-10,1175.57 
2019-07-09,1182.22 
2019-07-08,1179.94 
2019-07-05,1174.59 
2019-07-04,1167.34 
2019-07-03,1169.72 
2019-07-02,1166.47 
2019-07-01,1160.77 
2019-06-28,1155.38 
2019-06-27,1157.00 
2019-06-26,1153.67 
2019-06-25,1155.17 
2019-06-24,1153.67 
2019-06-21,1158.20 
2019-06-20,1158.52 
2019-06-19,1171.48 
2019-06-18,1173.87 
2019-06-17,1185.55 
2019-06-14,1186.78 
2019-06-13,1182.32 
2019-06-12,1183.35 
2019-06-11,1178.21 
2019-06-10,1183.02 
2019-06-07,1181.07 
2019-06-06,1177.67 
2019-06-05,1179.84 
2019-06-04,1177.56 
2019-06-03,1178.92 
2019-05-31,1187.80 
2019-05-30,1188.73 
2019-05-29,1193.03 
2019-05-28,1187.94 
2019-05-27,1183.55 
2019-05-24,1184.77 
2019-05-23,1188.80 
2019-05-22,1190.37 
2019-05-21,1191.78 
2019-05-20,1194.23 
2019-05-17,1193.73 
2019-05-16,1191.33 
2019-05-15,1185.79 
2019-05-14,1186.82 
2019-05-13,1187.78 
2019-05-10,1174.20 
2019-05-09,1179.09 
2019-05-08,1172.10 
2019-05-07,1172.22 
2019-05-06,1168.15 
2019-05-03,1163.68 
2019-05-02,1166.16 
2019-05-01,1164.73 
2019-04-30,1163.25 
2019-04-29,1158.88 
2019-04-26,1157.90 
2019-04-25,1159.01 
2019-04-24,1155.05 
2019-04-23,1142.11 
2019-04-22,1139.99 
2019-04-19,1135.58 
2019-04-18,1136.61 
2019-04-17,1131.28 
2019-04-16,1136.69 
2019-04-15,1134.10 
2019-04-12,1133.72 
2019-04-11,1140.96 
2019-04-10,1136.97 
2019-04-09,1140.08 
2019-04-08,1141.98 
2019-04-05,1136.69 
2019-04-04,1135.83 
